avg_rating,avg_review,avg_distance,no_of_bars_yelp,ll
3.78,161.1,604.42,50,"49.28763,-123.127245"
3.68,159.09,798.49,11,"49.297933,-123.130758"
3.65,85.9,836.38,10,"49.258819,-123.131317"
3.84,137.06,499.89,50,"49.280284,-123.097052"
3.87,141.02,722.27,50,"49.276294,-123.106534"
3.39,42.89,1019.08,19,"49.277469,-123.081315"
3.55,42.32,758.65,19,"49.277665,-123.073653"
3.62,41.62,751.66,24,"49.277436,-123.070427"
3.94,47.44,670.92,16,"49.280332,-123.070068"
3.82,96.45,702.64,42,"49.279369,-123.091241"
3.82,96.0,758.86,41,"49.283992,-123.091206"
3.57,39.9,599.61,21,"49.274881,-123.069323"
3.6,41.71,672.9,21,"49.275882,-123.071865"
3.77,80.23,914.06,43,"49.273777,-123.092723"
3.53,54.94,887.58,17,"49.265005,-123.079481"
3.53,54.94,968.73,17,"49.265024,-123.08127"
3.47,52.28,299.06,18,"49.271377,-123.069416"
3.47,52.28,323.21,18,"49.268616,-123.069908"
3.47,54.76,388.27,17,"49.266969,-123.069936"
3.46,55.21,642.78,14,"49.263242,-123.070521"
3.35,40.5,741.06,10,"49.261403,-123.070102"
3.79,50.0,715.34,7,"49.261263,-123.073707"
3.5,41.71,1060.94,14,"49.262242,-123.081459"
3.83,86.53,664.86,30,"49.262321,-123.09306"
3.47,59.93,655.9,15,"49.264251,-123.073853"
3.47,54.76,508.09,17,"49.266751,-123.073501"
3.47,52.28,434.6,18,"49.270684,-123.073562"
3.47,36.84,525.14,19,"49.2731,-123.0732"
3.95,107.1,729.06,29,"49.254667,-123.101389"
3.84,93.97,693.67,29,"49.256694,-123.096579"
3.84,81.47,672.84,32,"49.258352,-123.096337"
3.84,69.58,779.78,31,"49.258817,-123.092797"
3.89,76.81,839.05,27,"49.26151,-123.089413"
3.86,83.84,851.41,25,"49.263382,-123.088837"
3.88,34.12,816.18,8,"49.261353,-123.085333"
3.86,38.86,817.21,7,"49.264466,-123.085183"
3.89,44.89,665.66,18,"49.280197,-123.065859"
3.47,54.76,503.7,17,"49.266725,-123.065925"
3.79,50.0,710.28,7,"49.261188,-123.066009"
3.75,147.5,888.18,2,"49.256857,-123.065646"
4.0,32.77,518.55,13,"49.283986,-123.065264"
3.86,27.29,934.89,7,"49.257985,-123.083366"
3.86,89.75,928.77,28,"49.257939,-123.089531"
3.75,147.5,969.08,2,"49.256496,-123.075426"
4.09,34.27,526.11,11,"49.283236,-123.070443"
3.83,61.37,851.85,27,"49.267266,-123.090786"
3.8,85.27,571.49,30,"49.265242,-123.095577"
3.87,61.38,768.69,26,"49.265213,-123.090785"
0.0,0.0,0.0,0,"49.302577,-123.155616"
3.82,133.28,662.23,50,"49.277595,-123.09583"
3.77,82.1,828.93,31,"49.279235,-123.087528"
3.79,83.27,914.85,33,"49.277333,-123.087359"
3.59,38.95,546.72,22,"49.273103,-123.069892"
3.83,86.53,478.93,30,"49.261973,-123.09725"
3.66,131.06,694.09,50,"49.275295,-123.132585"
